Project, Fun, Type, Mandatory, Info, Line Num, Filename, Link,
gobwas/ws,Read,Candidate param,false,Name : n,55,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/wsutil/utf8.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/wsutil/utf8.go#L55,
gobwas/ws,Read,Integer as a for bound,false,Name : n,55,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/wsutil/utf8.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/wsutil/utf8.go#L55,
gobwas/ws,Read,Integer as a for bound,false,Name : &{6608780 INT 0},55,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/wsutil/utf8.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/wsutil/utf8.go#L55,
gobwas/ws,Cipher,Candidate param,false,Name : n,18,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go#L18,
gobwas/ws,Cipher,Candidate param,false,Name : ln,32,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go#L32,
gobwas/ws,Cipher,Candidate param,false,Name : n,35,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go#L35,
gobwas/ws,Cipher,Candidate param,false,Name : n,35,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go#L35,
gobwas/ws,Cipher,Candidate param,false,Name : rn,35,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go#L35,
gobwas/ws,Cipher,Candidate param,false,Name : n,49,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go#L49,
gobwas/ws,Cipher,Integer as a for bound,false,Name : n,18,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go#L18,
gobwas/ws,Cipher,Integer as a for bound,false,Name : &{6575464 INT 0},18,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go#L18,
gobwas/ws,Cipher,Integer as a for bound,false,Name : ln,32,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go#L32,
gobwas/ws,Cipher,Integer as a for bound,false,Name : &{6575916 INT 0},32,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go#L32,
gobwas/ws,Cipher,Integer as a for bound,false,Name : n,35,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go#L35,
gobwas/ws,Cipher,Integer as a for bound,false,Name : &{n 6575981 - rn},35,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go#L35,
gobwas/ws,Cipher,Integer as a for bound,false,Name : n,49,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go#L49,
gobwas/ws,Cipher,Integer as a for bound,false,Name : &{6576530 INT 0},49,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/cipher.go#L49,
gobwas/ws,Upgrade,Candidate param,false,Name : Protocols_d,402,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/dialer.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/dialer.go#L402,
gobwas/ws,Upgrade,Elem of a struct as a spawning for bound,true,Name : &{d Protocols},402,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/dialer.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/dialer.go#L402,
gobwas/ws,matchSelectedExtensions,Comm param,false,Name :wanted,465,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/dialer.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/dialer.go#L465,
gobwas/ws,setupContextDeadliner,Integer as a chan bound,true,Name : &{6595010 INT 1},530,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/dialer.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/dialer.go#L530,
gobwas/ws,RejectConnectionError,Comm param,false,Name :options,33,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/errors.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/errors.go#L33,
gobwas/ws,RejectConnectionError,Slice as a spawning for bound,true,Name : options,35,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/errors.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/errors.go#L35,
gobwas/ws,httpWriteUpgradeRequest,Comm param,false,Name :protocols,251,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/http.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/http.go#L251,
gobwas/ws,httpWriteUpgradeRequest,Slice as a spawning for bound,true,Name : protocols,273,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/http.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/http.go#L273,
gobwas/ws,SelectFromSlice,Comm param,false,Name :accept,15,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/util.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/util.go#L15,
gobwas/ws,SelectFromSlice,Slice as a spawning for bound,true,Name : accept,18,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/util.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/util.go#L18,
gobwas/ws,asciiToInt,Candidate param,false,Name : n,66,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/util.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/util.go#L66,
gobwas/ws,asciiToInt,Integer as a for bound,false,Name : n,66,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/util.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/util.go#L66,
gobwas/ws,asciiToInt,Integer as a for bound,false,Name : &{6703729 INT 0},66,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/util.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/util.go#L66,
gobwas/ws,canonicalizeHeaderKey,Comm param,false,Name :k,137,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/util.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/util.go#L137,
gobwas/ws,canonicalizeHeaderKey,Slice as a spawning for bound,true,Name : k,139,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/util.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/util.go#L139,
gobwas/ws,main,Integer as a chan bound,true,Name : &{6562181 INT 1},42,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/example/autobahn/autobahn.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/example/autobahn/autobahn.go#L42,
gobwas/ws,main,Integer as a chan bound,true,Name : &{6562215 INT 1},43,/var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/example/autobahn/autobahn.go,https://github.com/gobwas/ws/blob/d1714d5c972f3cb2bbb9fa93516825307beb4207//var/folders/28/gltwgskn4998yb1_d73qtg8h0000gn/T/clone-example280995754/example/autobahn/autobahn.go#L43,
